,Survived,PassengerId
0,0,892
1,0,893
2,0,894
3,0,895
4,0,896
5,0,897
6,0,898
7,0,899
8,0,900
9,0,901
10,0,902
11,1,903
12,1,904
13,0,905
14,1,906
15,1,907
16,0,908
17,0,909
18,0,910
19,1,911
20,1,912
21,0,913
22,1,914
23,0,915
24,1,916
25,0,917
26,1,918
27,0,919
28,1,920
29,0,921
30,0,922
31,0,923
32,0,924
33,0,925
34,0,926
35,1,927
36,0,928
37,0,929
38,0,930
39,1,931
40,0,932
41,0,933
42,0,934
43,1,935
44,1,936
45,0,937
46,0,938
47,0,939
48,1,940
49,1,941
50,1,942
51,0,943
52,1,944
53,1,945
54,0,946
55,0,947
56,0,948
57,0,949
58,0,950
59,1,951
60,1,952
61,0,953
62,1,954
63,0,955
64,1,956
65,1,957
66,1,958
67,0,959
68,1,960
69,0,961
70,0,962
71,0,963
72,0,964
73,1,965
74,1,966
75,0,967
76,0,968
77,1,969
78,0,970
79,0,971
80,1,972
81,1,973
82,1,974
83,0,975
84,0,976
85,0,977
86,0,978
87,0,979
88,0,980
89,1,981
90,1,982
91,0,983
92,1,984
93,0,985
94,1,986
95,0,987
96,0,988
97,0,989
98,0,990
99,0,991
100,1,992
101,0,993
102,0,994
103,0,995
104,0,996
105,0,997
106,0,998
107,0,999
108,0,1000
109,0,1001
110,0,1002
111,0,1003
112,1,1004
113,1,1005
114,1,1006
115,1,1007
116,0,1008
117,1,1009
118,1,1010
119,1,1011
120,1,1012
121,0,1013
122,1,1014
123,0,1015
124,0,1016
125,1,1017
126,0,1018
127,1,1019
128,0,1020
129,0,1021
130,0,1022
131,0,1023
132,0,1024
133,0,1025
134,0,1026
135,0,1027
136,0,1028
137,0,1029
138,0,1030
139,0,1031
140,0,1032
141,1,1033
142,0,1034
143,0,1035
144,1,1036
145,0,1037
146,0,1038
147,0,1039
148,0,1040
149,0,1041
150,1,1042
151,0,1043
152,0,1044
153,1,1045
154,0,1046
155,0,1047
156,1,1048
157,0,1049
158,1,1050
159,1,1051
160,0,1052
161,1,1053
162,1,1054
163,0,1055
164,0,1056
165,0,1057
